Titre,Lieu,Adresse,Ville,Description,Horaires,text_for_rag
TASTIN',Anvers,Anvers,Paris,Edition du TASTIN'FRANCE du 2nd semestre 2025,"Lundi 27 octobre, 08h30","[Date officielle : 18/01/2026] - [Date officielle : 18/01/2026] - ÉVÉNEMENT : TASTIN'. LIEU : Anvers (Anvers, Paris). QUAND : Lundi 27 octobre, 08h30. INFOS : Edition du TASTIN'FRANCE du 2nd semestre 2026"
Confessions - Accueil sacerdotal,"Église Saint-Gervais, Paris","13, rue des Barres, 75004 Paris",Paris,Horaires de permanence pour Confessions - Accueil sacerdotal,1 septembre 2023 - 27 juillet 2025,"[Date officielle : 18/02/2026] - [Date officielle : 18/02/2026] - ÉVÉNEMENT : Confessions - Accueil sacerdotal. LIEU : Église Saint-Gervais, Paris (13, rue des Barres, 75004 Paris, Paris). QUAND : 1 septembre 2023 - 27 juillet 2026. INFOS : Horaires de permanence pour Confessions - Accueil sacerdotal"
FIAP Jean Monnet,Fiap jean Monnet,30 rue Cabanis 75014 Paris,Paris,"1 ERP de type O avec activité L, N, P et R, 1 ERP de type Let R, 1 ERP de type O","Jeudi 1 janvier 2032, 02h00","[Date officielle : 18/03/2026] - [Date officielle : 18/03/2026] - ÉVÉNEMENT : FIAP Jean Monnet. LIEU : Fiap jean Monnet (30 rue Cabanis 75014 Paris, Paris). QUAND : Jeudi 1 janvier 2032, 02h00. INFOS : 1 ERP de type O avec activité L, N, P et R, 1 ERP de type Let R, 1 ERP de type O"
Rock en Seine,Paris,75012,Paris,"L’Allianz Prévention Tour est le partenaire prévention du festival ! Des coachs animent des ateliers sur les risques routiers : éthyloborne, simulateur, quiz, réactiomètre, et bien plus.",20 - 24 août,"[Date officielle : 18/04/2026] - [Date officielle : 18/04/2026] - ÉVÉNEMENT : Rock en Seine. LIEU : Paris (75012, Paris). QUAND : 20 - 24 août. INFOS : L’Allianz Prévention Tour est le partenaire prévention du festival ! Des coachs animent des ateliers sur les risques routiers : éthyloborne, simulateur, quiz, réactiomètre, et bien plus."
Vignoble en toiture Parisien,Vignoble du Marais,27 rue de Rivoli 75004 Paris,Paris,"Au cœur du Marais, nous vous invitons à découvrir le premier vignoble en toiture de Paris.","Dimanche 8 juin, 08h30","[Date officielle : 18/05/2026] - [Date officielle : 18/05/2026] - ÉVÉNEMENT : Vignoble en toiture Parisien. LIEU : Vignoble du Marais (27 rue de Rivoli 75004 Paris, Paris). QUAND : Dimanche 8 juin, 08h30. INFOS : Au cœur du Marais, nous vous invitons à découvrir le premier vignoble en toiture de Paris."
L'eau dans le système solaire au planétarium,Étincelles du Palais de la découverte,186 rue Saint-Charles 75015 Paris,Paris,"L'eau, omniprésente dans l'univers, se révèle sous différentes formes : gaz, glace et même liquide sur d'autres astres que la Terre.","Samedi 17 mai, 18h15","[Date officielle : 18/06/2026] - [Date officielle : 18/06/2026] - ÉVÉNEMENT : L'eau dans le système solaire au planétarium. LIEU : Étincelles du Palais de la découverte (186 rue Saint-Charles 75015 Paris, Paris). QUAND : Samedi 17 mai, 18h15. INFOS : L'eau, omniprésente dans l'univers, se révèle sous différentes formes : gaz, glace et même liquide sur d'autres astres que la Terre."
Une chimie lumineuse,Étincelles du Palais de la découverte,186 rue Saint-Charles 75015 Paris,Paris,Matière et lumière sont liées. Découvrez la chimie qui se cache dans la lumière.,"Samedi 17 mai, 20h15","[Date officielle : 18/07/2026] - [Date officielle : 18/07/2026] - ÉVÉNEMENT : Une chimie lumineuse. LIEU : Étincelles du Palais de la découverte (186 rue Saint-Charles 75015 Paris, Paris). QUAND : Samedi 17 mai, 20h15. INFOS : Matière et lumière sont liées. Découvrez la chimie qui se cache dans la lumière."
"Exposition ""Migrations, une odyssée humaine""",Musée de l'homme,"17 Place du Trocadéro et du Onze Novembre, 75116 Paris, France",Paris,"Loin d’être un phénomène nouveau, les migrations ont façonné notre humanité. Elles font partie de notre passé, notre présent et notre avenir, sans oublier l’ensemble du vivant. Un vaste sujet à dans …","Samedi 17 mai, 19h30","[Date officielle : 18/08/2026] - [Date officielle : 18/08/2026] - ÉVÉNEMENT : Exposition ""Migrations, une odyssée humaine"". LIEU : Musée de l'homme (17 Place du Trocadéro et du Onze Novembre, 75116 Paris, France, Paris). QUAND : Samedi 17 mai, 19h30. INFOS : Loin d’être un phénomène nouveau, les migrations ont façonné notre humanité. Elles font partie de notre passé, notre présent et notre avenir, sans oublier l’ensemble du vivant. Un vaste sujet à dans …"
Est-ce un Delacroix ? L’art de la copie,Musée Delacroix,"6 Rue de Furstemberg, 75006 Paris, France",Paris,Comment percer les secrets du processus créatif d’Eugène Delacroix ?,"Samedi 17 mai, 17h30","[Date officielle : 18/09/2026] - [Date officielle : 18/09/2026] - ÉVÉNEMENT : Est-ce un Delacroix ? L’art de la copie. LIEU : Musée Delacroix (6 Rue de Furstemberg, 75006 Paris, France, Paris). QUAND : Samedi 17 mai, 17h30. INFOS : Comment percer les secrets du processus créatif d’Eugène Delacroix ?"
Visites flash du Musée Curie,Musée Curie,"1 Rue Pierre et Marie Curie, 75005 Paris, France",Paris,Visites guidées top chrono ! Le tour d’un sujet en 10 minutes !,"Samedi 17 mai, 19h30","[Date officielle : 18/10/2026] - [Date officielle : 18/10/2026] - ÉVÉNEMENT : Visites flash du Musée Curie. LIEU : Musée Curie (1 Rue Pierre et Marie Curie, 75005 Paris, France, Paris). QUAND : Samedi 17 mai, 19h30. INFOS : Visites guidées top chrono ! Le tour d’un sujet en 10 minutes !"
